tconst,originalTitle,year,genres,runtime,localised_title,averageRating,numVotes,overview,poster_path,production_countries,Actors,Directors,Writers,overview_fr
tt0053604,The Apartment,1960,"Drama, Romance, Comedy",125,La garçonnière,8.3,203184,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",/dmaRf8ROeSmg4duvFeMLq2ULnk3.jpg,US,"Hope Holiday, Jack Lemmon, Joan Shawlee, Jack Kruschen, Ray Walston, Johnny Seven, David Lewis, Shirley MacLaine, Naomi Stevens, Fred MacMurray",Billy Wilder,"['Billy Wilder', 'I.A.L. Diamond']","Bud Baxter est commis mineur dans une énorme compagnie d'assurance de New York, jusqu'à ce qu'il découvre un moyen rapide de grimper l'échelle de l'entreprise. Il prête son appartement aux cadres comme un endroit pour emmener leurs maîtresses. Bien qu'il doive souvent faire face à la suite de leurs visites, une nuit il a laissé un problème majeur à résoudre."
tt0053619,L'avventura,1960,"Romance, Drama, Mystery",144,L'aventure,7.7,33736,"Claudia and Anna join Anna's lover, Sandro, on a boat trip to a remote volcanic island. When Anna goes missing, a search is launched. In the meantime, Sandro and Claudia become involved in a romance despite Anna's disappearance, though the relationship suffers from guilt and tension.",/waQPqPYLouGJXDYGqXmpyLN4PLA.jpg,"IT, FR","Renzo Ricci, Esmeralda Ruspoli, Lelio Luttazzi, Giovanni Petrucci, Dominique Blanchar, James Addams, Dorothy De Poliolo, Gabriele Ferzetti, Monica Vitti, Lea Massari",Michelangelo Antonioni,"['Tonino Guerra', 'Elio Bartolini', 'Michelangelo Antonioni']","Claudia et Anna rejoignent l'amant d'Anna, Sandro, lors d'un voyage en bateau vers une île volcanique éloignée. Quand Anna disparaît, une recherche est lancée. Entre-temps, Sandro et Claudia s'impliquent dans une romance malgré la disparition d'Anna, bien que la relation souffre de culpabilité et de tension."
tt0053666,Les bonnes femmes,1960,"Romance, Drama, Mystery",100,Les bonnes femmes,7.2,3261,Four Parisian women navigate the world of romance and daily life looking to fulfill their dreams.,/lro6PSrHaO97BTWgJqYC47uvtba.jpg,"IT, FR","Albert Dinan, Sacha Briquet, Clotilde Joano, Claude Berri, Lucile Saint-Simon, Pierre Bertin, Bernadette Lafont, Jean-Louis Maury, Ave Ninchi, Stéphane Audran",Claude Chabrol,"['Claude Chabrol', 'Paul Gégauff']",Quatre Parisiennes naviguent dans le monde de la romance et de la vie quotidienne en quête de réaliser leurs rêves.
tt0053729,Comanche Station,1960,"Drama, Western",73,Comanche Station,7.0,4608,"A man saves a woman who had been kidnapped by Comanches, then struggles to get both of them home alive.",/1PHMKqoyZ4JS1iXBDSgKrbirox.jpg,US,"Rand Brooks, Skip Homeier, Richard Rust, Joe Molina, Nancy Gates, Dyke Johnson, P. Holland, Randolph Scott, Foster Hood, Claude Akins",Budd Boetticher,['Burt Kennedy'],"Un homme sauve une femme qui avait été kidnappée par Comanches, puis lutte pour qu'ils rentrent tous les deux vivants."
tt0053765,Devi,1960,Drama,93,La déesse,7.7,2934,The life of a woman happily married to the son of an upper-class family in 19th century Bengal is turned upside down when her father-in-law has a vision that she is the Goddess Kali returned to earth. He convinces her to fulfill her role as a living deity and transform her house into a temple.,/Uf7HhrqrGVFmI3Ec5w9skBDIqC.jpg,IN,"Khagesh Chakravarti, Arabinda Kumar Chowdhury, Sharmila Tagore, Arpan Chowdhury, Anil Chatterjee, Purnendu Mukherjee, Karuna Bannerjee, Anil Bag, Soumitra Chatterjee, Chhabi Biswas",Satyajit Ray,"['Satyajit Ray', 'Prabhat Kumar Mukherjee']",La vie d'une femme heureuse mariée au fils d'une famille de classe supérieure au 19ème siècle Bengale est renversée quand son beau-père a une vision qu'elle est la Déesse Kali retournée sur terre. Il la convainc d'accomplir son rôle de divinité vivante et de transformer sa maison en temple.
tt0053772,Djävulens öga,1960,"Fantasy, Drama, Comedy",87,L'Œil du diable,7.1,4705,"The devil has a stye in his eye, caused by the purity of a vicar's daughter. To get rid of it, he sends Don Juan up from hell to seduce the 20 year old Britt-Marie and to rob her of her virginity and her belief in love. She however can resist him and things get even turned around when Don Juan falls in love with her. The fact that he feels love for the first time now, makes him even less attractive to her and Don Juan returns to hell.",/njgS53DDdtsj5DXaGcEwglwq8z3.jpg,SE,"Georg Funkquist, Sture Lagerwall, Jarl Kulle, Stig Järrel, Gunnar Sjöberg, Torsten Winge, Axel Düberg, Bibi Andersson, Gertrud Fridh, Nils Poppe",Ingmar Bergman,['Ingmar Bergman'],"Pour s'en débarrasser, il envoie Don Juan de l'enfer pour séduire Britt-Marie, 20 ans, et lui voler sa virginité et sa croyance en l'amour. Elle peut cependant lui résister et les choses se retournent quand Don Juan tombe amoureux d'elle. Le fait qu'il ressent l'amour pour la première fois maintenant, le rend encore moins attrayant pour elle et Don Juan retourne en enfer."
tt0053779,La dolce vita,1960,"Drama, Comedy",174,La douceur de vivre,8.0,80341,"Journalist and man-about-town Marcello struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.",/kZF1akNxeNJiCiMRWdF0fe0x48H.jpg,"IT, FR","Anouk Aimée, Marcello Mastroianni, Walter Santesso, Riccardo Garrone, Alain Cuny, Magali Noël, Valeria Ciangottini, Anita Ekberg, Yvonne Furneaux, Annibale Ninchi",Federico Fellini,"['Brunello Rondi', 'Tullio Pinelli', 'Federico Fellini', 'Ennio Flaiano']","Le journaliste et homme de la ville de Marcello lutte pour trouver sa place dans le monde, déchiré entre l'attrait de la scène sociale d'élite de Rome et la domesticité étouffante offerte par sa petite amie, tout en cherchant un moyen de devenir un écrivain sérieux."
tt0053793,Elmer Gantry,1960,Drama,146,"Elmer Gantry, le charlatan",7.7,13333,"When hedonistic but charming con man Elmer Gantry meets the beautiful Sister Sharon Falconer, a roadside revivalist, he feigns piousness to join her act as a passionate preacher. The two make a successful onstage pair, and their chemistry extends to romance. Both the show and their relationship are threatened, however, when one of Gantry's ex-lovers decides that she has a score to settle with the charismatic performer.",/5vd031r08rrfSMqtB9UarwqCUOz.jpg,US,"John McIntire, Jean Simmons, Burt Lancaster, Shirley Jones, Hugh Marlowe, Arthur Kennedy, Joe Maross, Edward Andrews, Patti Page, Dean Jagger",Richard Brooks,"['Sinclair Lewis', 'Richard Brooks']","Quand Elmer Gantry rencontre la belle sœur Sharon Falconer, une revivaliste du bord de la route, il feigne la piété de se joindre à son acte de prédicateur passionné. Les deux font une paire réussie sur scène, et leur chimie s'étend à la romance. Le spectacle et leur relation sont menacés, cependant, lorsque l'un des anciens amoureux de Gantry décide qu'elle a une note à régler avec l'interprète charismatique."
tt0053796,The Entertainer,1960,Drama,96,Le cabotin,7.1,3856,"Archie Rice, an old-time British vaudeville performer sinking into final defeat, schemes to stay in show business.",/s549IYn0XDUlFHJpOLIrWE1uYXv.jpg,GB,"Brenda de Banzie, Laurence Olivier, Shirley Anne Field, Daniel Massey, Albert Finney, Miriam Karlin, Thora Hird, Roger Livesey, Alan Bates, Joan Plowright",Tony Richardson,"['Nigel Kneale', 'John Osborne']","Archie Rice, un ancien interprète britannique de vaudeville qui s'enfonce dans la défaite finale, s'efforce de rester dans le show business."
tt0053917,Home from the Hill,1960,"Romance, Drama",150,Celui par qui le scandale arrive,7.4,3985,"Captain Wade Hunnicutt is the wealthiest and most powerful citizen in his Texan town; he is also a notorious womanizer, which has turned his wife Hannah against him. She has brought up their son Theron to be dependent upon her; but as he reaches adulthood, Hunnicutt insists on taking over his upbringing, initiating him in hunting and other masculine pursuits, under the watchful eye of Rafe, Hunnicutt's loyal employee. But Theron's new lifestyle leads him into a love-affair with a local girl, and thence to his learning things about his parents that were previously hidden from him.",/cE52KPgeJqDyaVu29OFGKqSDyET.jpg,US,"George Peppard, Ken Renard, George Hamilton, Eleanor Parker, Constance Ford, Anne Seymour, Everett Sloane, Ray Teal, Robert Mitchum, Luana Patten",Vincente Minnelli,"['Irving Ravetch', 'William Humphrey', 'Harriet Frank Jr.']","Le capitaine Wade Hunnicutt est le citoyen le plus riche et le plus puissant de sa ville de Texan; il est aussi une femme célèbre, qui a tourné sa femme Hannah contre lui. Elle a élevé leur fils Theron pour être dépendant d'elle; mais à mesure qu'il atteint l'âge adulte, Hunnicutt insiste pour prendre en charge son éducation, l'initiant à la chasse et à d'autres activités masculines, sous l'œil vigilant de Rafe, l'employé loyal de Hunnicutt. Mais le nouveau style de vie de Theron l'amène dans un amour-affair avec une fille locale, et de là à ses choses d'apprentissage sur ses parents qui étaient auparavant cachés de lui."
tt0053946,Inherit the Wind,1960,"History, Biography, Drama",128,Procès de singe,8.1,33580,"Schoolteacher Bertram Cates is arrested for teaching his students Darwin's theory of evolution. The case receives national attention and one of the newspaper reporters, E.K. Hornbeck, arranges to bring in renowned defense attorney and atheist Henry Drummond to defend Cates. The prosecutor, Matthew Brady is a former presidential candidate, famous evangelist, and old adversary of Drummond.",/7oaHcF0gCOt2lKaT2zajhajP0Zo.jpg,US,"Dick York, Donna Anderson, Philip Coolidge, Paul Hartman, Fredric March, Elliott Reid, Gene Kelly, Spencer Tracy, Claude Akins, Harry Morgan",Stanley Kramer,"['Jerome Lawrence', 'Robert E. Lee', 'Harold Jacob Smith', 'Nedrick Young']","L'enseignant Bertram Cates est arrêté pour avoir enseigné à ses élèves la théorie de l'évolution de Darwin. L'affaire reçoit l'attention nationale et l'un des journalistes de journaux, E.K. Hornbeck, prend des dispositions pour amener un avocat de la défense renommé et l'athée Henry Drummond pour défendre Cates. Le procureur, Matthew Brady est un ancien candidat à la présidence, célèbre évangéliste, et ancien adversaire de Drummond."
tt0053967,The Young One,1960,Drama,96,La jeune fille,7.4,3140,"A jazz musician seeks refuge from a lynch mob on a remote island, where he meets a hostile game warden and the young object of his attentions.",/vgqmNCe9PKibdGpdWuhA6Ozuso.jpg,"US, MX","Zachary Scott, Crahan Denton, Bernie Hamilton, Claudio Brook, Key Meersman",Luis Buñuel,"['Luis Buñuel', 'Peter Matthiessen', 'Hugo Butler']","Un musicien de jazz cherche refuge à une foule de lynches sur une île éloignée, où il rencontre un gardien de jeu hostile et le jeune objet de ses attentions."
tt0053976,Jungfrukällan,1960,Drama,89,La Source,8.0,32287,"Devout Christians Töre and Märeta send their only daughter, the virginal Karin, and their foster daughter, the unrepentant Ingeri, to deliver candles to a distant church. On their way through the woods, the girls encounter a group of savage goat herders who brutally rape and murder Karin as Ingeri remains hidden. When the killers unwittingly seek refuge in the farmhouse of Töre and Märeta, Töre plots a fitting revenge.",/z70YM3Y4pNYZATMhFMKonngaeMC.jpg,SE,"Gunnel Lindblom, Allan Edwall, Axel Slangus, Max von Sydow, Birgitta Valberg, Birgitta Pettersson, Ove Porath, Gudrun Brost, Tor Isedal, Axel Düberg",Ingmar Bergman,['Ulla Isaksson'],"Les chrétiens dévots Töre et Märeta envoient leur fille unique, le Karin virginal, et leur fille nourricière, l'Ingeri non repentant, pour livrer des bougies à une église lointaine. Sur leur chemin à travers les bois, les filles rencontrent un groupe de bergers de chèvre sauvage qui violent et assassinent Karin comme Ingeri reste caché. Lorsque les tueurs cherchent involontairement refuge dans la ferme de Töre et Märeta, Töre complote une vengeance appropriée."
tt0053987,Katok i skripka,1961,Drama,46,Le rouleau compresseur et le violon,7.4,7324,"Seven year old Sasha practices violin every day to satisfy the ambition of his parents. Already withdrawn as a result of his routines, Sasha quickly regains confidence when he accidentally meets and befriends worker Sergei, who works on a steamroller in their upscale Moscow neighborhood.",/rQILTYttUhFTy715d41SG50Xpfi.jpg,SU,"Igor Fomchenko, Aleksandr Ilin, Marina Adzhubei, Yuri Brusser, Zhenya Fedchenko, Vyacheslav Borisov, Gena Klyachkovsky, Natalya Arkhangelskaya, Marina Figner, Vladimir Zamanskiy",Andrei Tarkovsky,"['Andrey Konchalovskiy', 'Andrei Tarkovsky', 'S. Bakhmetyeva']","Sasha, âgé de sept ans, pratique le violon tous les jours pour satisfaire l'ambition de ses parents. Déjà retiré de sa routine, Sasha retrouve rapidement confiance lorsqu'il rencontre accidentellement Sergei, travailleur ami, qui travaille sur un rouleau à vapeur dans leur quartier haut de gamme de Moscou."
tt0054001,Komisario Palmun erehdys,1960,"Mystery, Comedy, Crime",109,Le mystère Rygseck,7.7,2149,A closed room mystery begins when an infamous tycoon is found dead in his bath tub. The famous police lieutenant Palmu is summoned to investigate.,/j2EsFx9o4WfjCyiBKB8iRjXGjmD.jpg,FI,"Leo Jokela, Leo Riuttu, Joel Rinne, Elina Pohjanpää, Matti Oravisto, Matti Ranin, Saara Ranin, Elina Salo, Leevi Kuuranne, Pentti Siimes",Matti Kassila,"['Matti Kassila', 'Mika Waltari']",Un mystère de chambre fermée commence quand un magnat infâme est retrouvé mort dans sa baignoire. Le célèbre lieutenant de police Palmu est convoqué pour enquêter.
tt0054042,Macario,1960,"Fantasy, Drama, Mystery",91,Macario,8.3,4614,"Poor, hungry peasant Macario longs for just one good meal on the Day of the Dead. After his wife cooks a turkey for him, he meets three apparitions, the Devil, God, and Death. Each asks him to share his turkey, but he refuses all except Death. In return, Death gives him a bottle of water which will heal any illness. Soon, Macario is more wealthy than the village doctor, which draws the attention of the feared Inquisition.",/xX9JGtsnXQAR7e1fWkr7zBuQUHN.jpg,MX,"Consuelo Frank, José Gálvez, Mario Alberto Rodríguez, Ignacio López Tarso, Eduardo Fajardo, Enrique Lucero, Celia Tejeda, José Luis Jiménez, José Dupeyrón, Pina Pellicer",Roberto Gavaldón,"['Roberto Gavaldón', 'Emilio Carballido', 'B. Traven']","Macario, pauvre paysan affamé, ne désire qu'un bon repas le jour des morts. Après que sa femme lui ait préparé une dinde, il rencontre trois apparitions, le Diable, Dieu et la Mort. Chacun lui demande de partager sa dinde, mais il refuse tout sauf la Mort. En retour, la Mort lui donne une bouteille d'eau qui guérira toute maladie. Bientôt, Macario est plus riche que le médecin du village, qui attire l'attention de l'inquisition redoutée."
tt0054047,The Magnificent Seven,1960,"Action, Adventure, Drama",128,Les 7 mercenaires,7.7,104861,An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.,/e5ToxOyJwuZD4VOfI0qEn5uIjeJ.jpg,US,"Eli Wallach, Horst Buchholz, Jorge Martínez de Hoyos, Steve McQueen, Vladimir Sokoloff, Brad Dexter, James Coburn, Robert Vaughn, Yul Brynner, Charles Bronson",John Sturges,['William Roberts'],Un village paysan mexicain opprimé engage sept artilleurs pour aider à défendre leurs maisons.
tt0054067,La maschera del demonio,1960,Horror,87,Le masque du démon,7.1,18482,A vengeful witch and her fiendish servant return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant. Only the girl's brother and a handsome doctor stand in her way.,/7W8uSI5jclTERrnDJXtm3pZfr4.jpg,IT,"Mario Passante, Enrico Olivieri, Tino Bianchi, John Richardson, Clara Bindi, Ivo Garrani, Antonio Pierfederici, Barbara Steele, Andrea Checchi, Arturo Dominici",Mario Bava,"['Mario Serandrei', 'George Higgins', 'Ennio De Concini', 'Nikolay Gogol']",Une sorcière vendeuse et sa servante folle reviennent de la tombe et commencent une campagne sanglante pour posséder le corps de la belle descendante de la sorcière. Seul le frère de la fille et un beau médecin se tiennent sur son chemin.
tt0054073,Meghe Dhaka Tara,1960,Drama,126,Etoile cachée,7.8,3377,"The tragic story of the beautiful daughter of a middle-class refugee family from East Pakistan. Neeta, the protagonist, sacrifices everything for her unappreciative family.",/zHcp7d8yMlxSbPP43V1v9DJnRoU.jpg,IN,"Dwiju Bhawal, Gita Ghatak, Anil Chatterjee, Supriya Choudhury, Niranjan Ray, Gyanesh Mukherjee, Satindra Bhattacharya, Bijon Bhattacharya, Gita Dey, Abhi Bhattacharya",Ritwik Ghatak,"['Samiran Dutta', 'Ritwik Ghatak', 'Rabindranath Tagore', 'Shaktipada Rajguru']","L'histoire tragique de la belle fille d'une famille de réfugiés de classe moyenne du Pakistan oriental. Neeta, la protagoniste, sacrifie tout pour sa famille peu appréciatrice."
tt0054130,La notte,1961,Drama,122,La Nuit,7.9,24826,A day in the life of an unfaithful married couple and their steadily deteriorating relationship in Milan.,/32Z0Vsrt9LGAiBBwTKR8L9B3ICa.jpg,"FR, IT","Maria Pia Luzi, Marcello Mastroianni, Rosy Mazzacurati, Vincenzo Corbella, Jeanne Moreau, Bernhard Wicki, Ugo Fortunati, Vittorio Bertolini, Guido A. Marsan, Monica Vitti",Michelangelo Antonioni,"['Tonino Guerra', 'Ennio Flaiano', 'Michelangelo Antonioni']",Un jour dans la vie d'un couple marié infidèle et leur relation se détériore constamment à Milan.
tt0054144,Onna ga kaidan wo agaru toki,1960,Drama,111,Quand une femme monte l'escalier,8.0,4992,"Keiko, whom everyone calls Mama, narrates her story: she's a hostess on the Ginza, 30, a widow. She describes life's vicious cycle: acting cheerful around drunks, dressing and living well to convey confidence, needing money for these expenses and for her demanding mother and brother, and knowing she's growing older. She's of an age when she must choose: to seek marriage (difficult given her tarnished occupation), to be a kept woman, or to borrow money to buy a bar of her own. Each route has dangers, including investors demanding a return on their loans. Keiko has a quiet dignity that attracts men, but are they what they seem? Does she actually have choices?",/miGb5TwM8SIK5URe0mPMOYZqr3g.jpg,JP,"Chieko Nakakita, Keiko Awaji, Jun Tatara, Daisuke Katô, Hideko Takamine, Eitarô Ozawa, Reiko Dan, Masayuki Mori, Tatsuya Nakadai, Ganjirô Nakamura",Mikio Naruse,['Ryûzô Kikushima'],"Keiko, que tout le monde appelle maman, raconte son histoire : c'est une hôtesse sur le Ginza, 30 ans, veuve. Elle décrit le cercle vicieux de la vie : agir avec gaieté autour des ivrognes, s'habiller et bien vivre pour transmettre confiance, avoir besoin d'argent pour ces dépenses et pour sa mère et son frère exigeants, et savoir qu'elle grandit. Elle est d'un âge où elle doit choisir : chercher le mariage (difficile vu son occupation ternie), être une femme gardée, ou emprunter de l'argent pour acheter un bar de sa propre. Chaque route a des dangers, y compris les investisseurs exigeant un retour sur leurs prêts. Keiko a une dignité tranquille qui attire les hommes, mais sont-ils ce qu'ils semblent ?"
tt0054159,Pasazerka,1963,"Drama, War",62,La passagère,7.4,2229,"A German woman on a ship returning to Europe notices a face of another woman which brings recollections from the past. She tells her husband that she had been an overseer in Auschwitz during the war, but she has actually saved a woman's life.",/yS5D66ehBjE4RdAsUo1IcL4YRBe.jpg,PL,"Barbara Horawianka, Marek Walczewski, Anna Ciepielewska, Leon Pietraszkiewicz, Aleksandra Slaska, Janusz Bylczynski, Maria Koscialkowska, Irena Malkiewicz, Anna Jaraczówna, Jan Kreczmar","Andrzej Munk, Witold Lesiewicz","['Zofia Posmysz', 'Andrzej Munk']","Une femme allemande sur un navire revenant en Europe remarque un visage d'une autre femme qui apporte des souvenirs du passé. Elle dit à son mari qu'elle avait été surveillante à Auschwitz pendant la guerre, mais elle a en fait sauvé la vie d'une femme."
